#longitude	latitude	city
-111.120000	44.680000	147
-111.100000	44.650000	148
-110.420000	44.550000	137
-109.020000	44.520000	123
-107.970000	43.970000	114
-110.730000	43.600000	142
-110.100000	42.570000	133
-108.450000	43.050000	117
-108.730000	42.820000	121
-109.070000	41.600000	124
-111.000000	41.330000	153
-110.630000	40.500000	139
-109.520000	40.450000	126
-110.750000	39.620000	144
-111.720000	40.220000	158
-112.200000	40.170000	169
-111.970000	40.780000	162
-111.970000	41.120000	163
-112.020000	41.180000	165
-111.850000	41.780000	160
-111.580000	42.650000	155
-112.320000	42.170000	170
-113.370000	42.300000	187
-113.770000	42.530000	189
-114.480000	42.480000	199
-114.300000	43.500000	196
-114.220000	44.520000	194
-112.600000	42.920000	180
-112.070000	43.520000	166
-112.320000	44.570000	171
-112.550000	45.250000	178
-112.500000	45.950000	177
-113.900000	45.180000	190
-114.470000	45.170000	198
-116.100000	44.880000	222
-116.220000	43.570000	226
-115.870000	43.050000	217
-115.170000	43.000000	207
-116.170000	42.580000	225
-117.020000	44.020000	238
-118.950000	43.600000	297
-117.820000	44.830000	266
-118.000000	45.280000	285
-118.400000	45.500000	284
-118.850000	45.680000	294
-121.150000	44.270000	329
-123.370000	43.230000	393
-124.250000	43.420000	404
-124.950000	43.380000	408
-123.220000	44.120000	389
-123.280000	44.500000	391
-124.050000	44.630000	399
-123.000000	44.920000	394
-122.750000	45.250000	380
-122.400000	45.550000	369
-121.880000	45.680000	349
-121.150000	45.620000	330
-120.530000	46.570000	320
-119.600000	46.570000	307
-119.120000	46.270000	300
-118.280000	46.100000	279
-117.120000	46.750000	243
-117.020000	46.380000	239
-116.130000	45.920000	221
-115.430000	45.820000	210
-115.370000	47.600000	209
-115.800000	47.470000	216
-116.820000	47.770000	233
-117.330000	47.670000	253
-117.530000	47.630000	257
-117.650000	47.620000	262
-118.470000	48.880000	287
-119.530000	48.420000	306
-119.320000	47.200000	302
-119.520000	47.320000	305
-120.200000	47.400000	313
-121.330000	47.280000	334
-122.280000	47.920000	361
-122.330000	48.500000	364
-122.530000	48.800000	373
-122.650000	48.350000	377
-122.680000	48.250000	379
-122.770000	47.480000	381
-122.300000	47.530000	367
-122.220000	47.500000	357
-122.300000	47.450000	366
-122.580000	47.270000	375
-122.480000	47.150000	371
-122.580000	47.080000	374
-123.150000	47.250000	388
-122.900000	46.970000	386
-122.800000	46.480000	384
-122.600000	45.600000	376
-122.950000	45.530000	387
-123.880000	46.150000	397
-123.970000	46.970000	398
-123.500000	48.120000	395
-123.670000	48.220000	396
-124.550000	47.950000	407
-131.570000	55.030000	409
-131.700000	55.350000	410
-133.250000	55.800000	413
-134.220000	56.000000	416
-134.650000	56.250000	418
-132.370000	56.480000	411
-132.970000	56.820000	412
-133.950000	56.970000	414
-134.030000	57.450000	415
-135.350000	57.070000	421
-134.970000	57.830000	420
-134.900000	58.250000	419
-134.580000	58.370000	417
-135.450000	58.100000	424
-135.730000	58.420000	426
-136.350000	58.200000	427
-137.050000	58.330000	428
-135.430000	59.230000	423
-135.370000	59.620000	422
-135.530000	59.750000	425
-139.670000	59.520000	429
-146.330000	59.430000	443
-145.000000	60.330000	440
-145.500000	60.500000	438
-146.250000	61.130000	442
-146.350000	61.130000	444
-147.080000	60.380000	446
-149.750000	60.180000	459
-151.500000	59.630000	472
-152.500000	57.750000	478
-154.200000	56.880000	481
-154.920000	59.750000	484
-154.300000	60.200000	482
-152.300000	60.820000	477
-151.250000	60.570000	469
-150.020000	61.170000	464
-149.850000	61.220000	462
-150.050000	61.750000	465
-149.030000	61.630000	454
-149.080000	61.600000	455
-148.720000	60.780000	452
-147.300000	61.900000	447
-146.670000	62.030000	445
-145.450000	62.150000	437
-142.920000	61.430000	432
-143.920000	62.730000	434
-145.500000	63.030000	439
-145.730000	64.000000	441
-141.930000	62.970000	431
-141.150000	64.770000	430
-144.070000	65.830000	435
-145.270000	66.570000	436
-148.480000	67.500000	451
-149.480000	68.480000	457
-143.630000	70.130000	433
-148.330000	70.250000	449
-148.470000	70.200000	450
-149.880000	70.500000	463
-152.130000	69.370000	474
-153.230000	70.920000	479
-156.780000	71.300000	492
-159.850000	70.620000	505
-162.920000	69.820000	512
-162.630000	66.870000	510
-157.850000	67.100000	496
-151.520000	66.920000	471
-150.650000	66.820000	468
-149.830000	65.930000	461
-152.100000	65.170000	475
-152.270000	63.900000	476
-150.650000	65.000000	467
-149.080000	64.550000	456
-147.870000	64.820000	448
-149.000000	63.830000	458
-148.950000	63.380000	453
-149.830000	62.880000	460
-150.100000	62.300000	466
-151.200000	61.970000	470
-152.080000	61.980000	473
-153.250000	62.170000	480
-154.470000	62.850000	483
-155.620000	62.970000	486
-160.800000	63.880000	508
-165.430000	64.500000	514
-166.870000	65.250000	519
-166.030000	66.270000	515
-168.080000	66.030000	520
-171.730000	63.770000	523
-166.270000	60.370000	516
-161.800000	60.780000	509
-163.300000	62.070000	513
-159.530000	61.580000	503
-158.520000	59.050000	500
-156.650000	58.680000	491
-158.620000	56.950000	501
-160.500000	55.330000	507
-162.720000	55.200000	511
-166.530000	53.880000	518
